Year,Event,Athlete,Medal,Country,Result
1896,1500m Men,Teddy Flack,GOLD,AUS,04:33.2
1896,,Arthur Blake,SILVER,USA,4:34.0 est.
1896,,Albin Lermusiaux,BRONZE,FRA,4:36.0 est.
1900,1500m Men,Charles Bennett,GOLD,GBR,04:06.2
1900,,Henri Deloge,SILVER,FRA,04:06.6
1900,,John Bray,BRONZE,USA,04:07.2
1904,1500m Men,James Lightbody,GOLD,USA,04:05.4
1904,,William Verner,SILVER,USA,04:06.8
1904,,Lacey Hearn,BRONZE,USA,n/a
1906,1500m Men,James Lightbody,GOLD,USA,04:12.0
1906,,John McGough,SILVER,GBR,04:12.6
1906,,Kristian Hellström,BRONZE,SWE,04:13.4
1908,1500m Men,Melvin Sheppard,GOLD,USA,04:03.4
1908,,Harold Wilson,SILVER,GBR,04:03.6
1908,,Norman Hallows,BRONZE,GBR,04:04.0
1912,1500m Men,Arnold Jackson,GOLD,GBR,03:56.8
1912,,Abel Kiviat,SILVER,USA,03:56.9
1912,,Norman Taber,BRONZE,USA,03:56.9
1920,1500m Men,Albert Hill,GOLD,GBR,04:01.8
1920,,Philip Noel-Baker,SILVER,GBR,04:02.4
1920,,Marion Shields,BRONZE,USA,04:03.1
1924,1500m Men,Paavo Nurmi,GOLD,FIN,03:53.6
1924,,Willy Schärer,SILVER,SUI,03:55.0
1924,,Henry Stallard,BRONZE,GBR,03:55.6
1928,1500m Men,Harry Larva,GOLD,FIN,03:53.2
1928,,Jules Ladoumègue,SILVER,FRA,03:53.8
1928,,Eino Purje-Borg,BRONZE,FIN,03:56.4
1932,1500m Men,Luigi Beccali,GOLD,KIT,03:51.2
1932,,John Cornes,SILVER,GBR,03:52.6
1932,,Philip Edwards,BRONZE,CAN,03:52.8
1936,1500m Men,Jack Lovelock,GOLD,NZL,03:47.8
1936,,Glenn Cunningham,SILVER,USA,03:48.4
1936,,Luigi Beccali,BRONZE,KIT,03:49.2
1948,1500m Men,Henry Eriksson,GOLD,SWE,03:49.8
1948,,Lennart Strand,SILVER,SWE,03:50.4
1948,,Wim Slijkhuis,BRONZE,NED,03:50.4
1952,1500m Men,Josy Barthel,GOLD,LUX,03:45.1
1952,,Robert McMillen,SILVER,USA,03:45.2
1952,,Werner Lueg,BRONZE,GER,03:45.4
1956,1500m Men,Ron Delany,GOLD,IRL,03:41.2
1956,,Klaus Richtzenhain,SILVER,GER,03:42.0
1956,,John Landy,BRONZE,AUS,03:42.0
1960,1500m Men,Herb Elliott,GOLD,AUS,03:35.6
1960,,Michel Jazy,SILVER,FRA,03:38.4
1960,,István Rózsavölgyi,BRONZE,HUN,03:39.2
1964,1500m Men,Peter Snell,GOLD,NZL,03:38.1
1964,,Josef Odlozil,SILVER,CZE,03:39.6
1964,,John Davies,BRONZE,NZL,03:39.6
1968,1500m Men,Kipchoge Keino,GOLD,KEN,03:34.9
1968,,Jim Ryun,SILVER,USA,03:37.8
1968,,Bodo Tümmler,BRONZE,FRG,03:39.0
1972,1500m Men,Pekka Vasala,GOLD,FIN,03:36.3
1972,,Kipchoge Keino,SILVER,KEN,03:36.8
1972,,Rodney Dixon,BRONZE,NZL,03:37.5
1976,1500m Men,John Walker,GOLD,NZL,03:39.2
1976,,Ivo van Damme,SILVER,BEL,03:39.3
1976,,Paul-Heinz Wellmann,BRONZE,FRG,03:39.3
1980,1500m Men,Sebastian Coe,GOLD,GBR,03:38.4
1980,,Jürgen Straub,SILVER,GDR,03:38.8
1980,,Steve Ovett,BRONZE,GBR,03:39.0
1984,1500m Men,Sebastian Coe,GOLD,GBR,03:32.5
1984,,Steve Cram,SILVER,GBR,03:33.4
1984,,José Abascal,BRONZE,ESP,03:34.3
1988,1500m Men,Peter Rono,GOLD,KEN,03:36.0
1988,,Peter Elliott,SILVER,GBR,03:36.2
1988,,Jens-Peter Herold,BRONZE,GDR,03:36.2
1992,1500m Men,Fermin Cacho,GOLD,ESP,03:40.1
1992,,Rachid El Basir,SILVER,MAR,03:40.6
1992,,Mohamed Sulaiman,BRONZE,QAT,03:40.7
1996,1500m Men,Noureddine Morceli,GOLD,ALG,03:35.8
1996,,Fermin Cacho,SILVER,ESP,03:36.4
1996,,Stephen Kipkorir,BRONZE,KEN,03:36.7
2000,1500m Men,Noah Ngeny,GOLD,KEN,03:32.1
2000,,Hicham el Guerrouj,SILVER,MAR,03:32.3
2000,,Bernard Lagat,BRONZE,KEN,03:32.4
2004,1500m Men,Hicham el Guerrouj,GOLD,MAR,03:34.2
2004,,Bernard Lagat,SILVER,KEN,03:34.3
2004,,Rui Silva,BRONZE,POR,03:34.7
2008,1500m Men,Rashid Ramzi,GOLD,BRN,03:32.9
2008,,Asbel Kiprop,SILVER,KEN,03:33.1
2008,,Nicholas Willis,BRONZE,NZL,03:34.2
